Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,225,
2,10/9/2021,225,64565
3,10/16/2021,225,64998
4,10/23/2021,225,65550
5,10/30/2021,225,66068
6,11/6/2021,225,66714
7,11/13/2021,225,67238
8,11/20/2021,225,68062
9,11/27/2021,225,68200
10,12/4/2021,225,68815
11,12/11/2021,225,69480
12,12/18/2021,225,70037
13,12/25/2021,225,
14,1/1/2022,225,
15,1/8/2022,225,
16,1/15/2022,225,71277
17,1/22/2022,225,71809
18,1/29/2022,225,72269
19,2/5/2022,225,72641
20,2/12/2022,225,
21,2/19/2022,225,73415
22,2/26/2022,225,73827
23,3/5/2022,225,74229
24,3/12/2022,225,74562
25,3/19/2022,225,74932
26,3/26/2022,225,75499
27,4/2/2022,225,76145
28,4/9/2022,225,
29,4/16/2022,225,77271
