Week_Ending,Ending_Mileage
10/2/2021,26484
10/9/2021,26768
10/16/2021,27085
10/23/2021,27276
10/30/2021,27611
11/6/2021,28008
11/13/2021,28262
11/20/2021,28541
11/27/2021,28858
12/4/2021,29307
12/11/2021,29615
12/18/2021,30026
12/25/2021,30400
1/1/2022,30646
1/8/2022,30797
1/15/2022,30979
1/22/2022,31178
1/29/2022,31611
2/5/2022,31961
2/12/2022,32425
2/19/2022,32809
2/26/2022,32919
3/5/2022,33323
3/12/2022,33637
3/19/2022,33736
3/26/2022,34047
4/2/2022,
4/9/2022,
4/16/2022,
